,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese,Age,bullied
2,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,14,0
5,0,0,0,0,0,1,0,3,0,3,4,0,0,0,0,0,13,0
10,0,0,0,0,0,1,0,3,2,3,4,0,1,0,0,0,15,0
22,0,0,1,0,0,2,3,3,0,1,4,1,0,0,0,0,13,1
23,0,0,0,0,0,2,3,2,0,4,2,1,0,0,1,1,14,0
31,0,0,0,1,0,0,0,3,0,3,4,0,0,0,0,0,13,0
33,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,14,0
37,0,0,0,0,0,5,1,3,4,4,1,0,1,0,0,0,13,0
39,0,0,1,1,0,1,1,3,0,3,3,0,0,0,0,0,13,1
41,1,0,1,0,0,1,1,3,0,3,3,0,0,0,1,0,13,1
42,1,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,15,1
43,0,0,0,1,1,0,0,3,1,4,4,0,1,0,1,0,14,0
45,1,0,0,1,0,0,2,3,0,1,4,0,0,0,0,0,13,1
47,0,0,0,1,1,0,2,3,0,2,4,0,0,0,0,0,15,0
48,0,0,1,1,0,0,1,3,0,2,2,0,0,0,0,0,14,1
49,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,16,0
50,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,16,0
52,0,1,1,1,0,2,1,3,1,2,3,0,1,0,1,0,14,1
54,0,1,1,0,3,2,3,0,4,2,4,1,1,0,0,0,16,1
56,0,0,0,0,0,0,1,3,0,1,1,0,0,1,0,0,15,0
57,0,0,0,0,0,3,1,3,0,3,4,0,0,0,0,0,15,0
58,0,0,0,0,0,2,0,3,4,3,4,0,1,0,0,0,16,0
59,1,0,0,1,0,0,1,3,0,3,2,0,0,0,0,0,15,1
60,0,0,1,1,0,0,4,3,0,2,3,1,0,0,0,0,15,1
61,0,0,0,1,0,0,2,3,0,3,2,0,0,0,0,0,15,0
64,0,1,0,1,0,0,3,3,0,3,4,1,0,0,1,0,16,1
66,0,0,0,1,0,0,0,3,0,4,4,0,0,0,0,0,14,0
69,0,0,0,1,0,0,2,3,0,2,4,0,0,0,1,1,15,0
73,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,16,0
75,0,0,0,1,0,0,2,2,0,2,2,0,0,0,0,0,16,0
76,0,0,0,1,0,0,0,3,0,4,2,0,0,0,0,0,15,0
77,0,1,1,1,0,0,4,3,1,1,1,1,1,0,0,0,14,1
78,0,0,1,0,0,0,4,3,0,4,0,1,0,0,0,0,15,1
79,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,17,0
80,0,0,0,0,0,0,2,3,0,3,2,0,0,0,0,0,16,0
81,0,0,0,1,0,0,2,3,0,3,0,0,0,0,1,0,15,0
84,0,0,0,1,0,0,1,3,0,2,2,0,0,0,1,0,15,0
87,0,0,0,0,0,0,1,3,0,1,1,0,0,0,1,0,15,0
88,0,0,0,1,0,0,3,1,0,2,4,1,0,0,0,0,15,0
94,0,0,1,0,1,1,2,2,0,2,3,0,0,0,0,0,17,1
96,1,1,1,1,1,1,2,3,0,2,4,0,0,0,0,0,16,1
98,0,0,0,0,0,0,2,3,0,1,3,0,0,0,0,0,16,0
99,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,16,0
105,0,0,0,1,0,0,3,2,3,1,4,1,1,0,0,0,17,0
106,0,0,1,1,0,0,2,3,0,2,1,0,0,0,1,1,15,1
109,0,0,0,1,0,2,4,1,0,2,0,1,0,0,0,0,17,0
112,0,1,1,0,1,1,0,1,4,2,3,0,1,0,0,0,17,1
113,0,0,0,1,0,0,1,3,0,3,2,0,0,0,0,0,13,0
114,1,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,12,1
115,0,0,0,0,1,1,1,3,0,1,2,0,0,0,0,0,13,0
116,0,0,0,0,0,0,0,3,0,4,4,0,0,0,1,0,13,0
117,1,0,0,1,0,0,2,3,0,2,2,0,0,0,0,0,13,1
118,1,0,0,1,0,0,1,3,0,2,4,0,0,0,0,0,13,1
119,0,0,0,0,0,0,2,3,0,1,3,0,0,1,0,0,14,0
120,0,0,0,0,0,3,0,3,0,3,0,0,0,0,1,1,13,0
121,1,1,1,1,0,0,3,1,0,4,4,1,0,0,1,0,13,1
122,1,0,1,1,0,0,4,1,1,2,0,1,1,0,1,0,13,1
123,0,1,1,0,0,1,0,3,1,3,4,0,1,0,1,0,13,1
124,0,1,0,0,0,3,0,3,3,3,1,0,1,0,1,0,14,1
125,1,0,1,1,1,0,3,2,0,3,0,1,0,0,0,0,13,1
128,1,1,1,1,6,1,4,3,0,2,3,1,0,0,0,0,14,1
129,0,0,0,0,0,3,0,3,1,1,2,0,1,0,1,0,13,0
131,1,0,1,1,0,0,1,3,0,2,4,0,0,0,0,0,13,1
132,0,1,1,1,0,1,2,3,0,2,2,0,0,0,0,0,13,1
133,0,0,0,0,0,4,0,3,0,3,3,0,0,0,1,0,13,0
136,0,0,1,0,1,2,1,3,0,2,2,0,0,1,0,0,13,1
137,1,0,0,1,0,0,2,3,0,3,1,0,0,0,0,0,13,1
138,1,0,0,1,0,0,2,1,0,2,1,0,0,0,0,0,13,1
139,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,15,1
140,0,0,0,1,0,0,2,3,0,3,3,0,0,0,0,0,14,0
141,0,0,0,0,0,0,0,3,0,3,3,0,0,0,1,1,14,0
143,0,0,0,0,0,0,0,3,0,4,2,0,0,0,1,0,14,0
144,0,0,0,1,0,0,0,3,0,3,4,0,0,0,0,0,15,0
146,0,0,0,0,0,2,0,2,0,3,3,0,0,0,0,0,14,0
147,0,0,0,1,0,0,2,3,0,3,4,0,0,0,0,0,14,0
